приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
ещё не обновлялось	Not updated yet	Noch nicht aktualisiert	Aún sin actualizar
Админ-панель	Admin panel	Adminbereich	Panel de administración
Вернуться в меню	Return to menu	Zurück zum Menü	Volver al menú
Управление приложением	App management	App-Verwaltung	Gestión de la aplicación
Обновлено	Updated	Aktualisiert	Actualizado
Обновить базу	Refresh database	Datenbank aktualisieren	Actualizar base de datos
Обновить	Refresh	Aktualisieren	Actualizar
Статистика пользователей	User statistics	Nutzerstatistik	Estadísticas de usuarios
Всего	Total	Gesamt	Total
Активных	Active	Aktiv	Activos
Заблокировано	Blocked	Gesperrt	Bloqueados
Поиск по нику	Search by username	Nach Nutzernamen suchen	Buscar por nombre de usuario
или игре	or game	oder Spiel	o juego
Фильтр пользователей	User filter	Nutzerfilter	Filtro de usuarios
Все	All	Alle	Todos
Активные	Active	Aktiv	Activos
Блок.	Blocked	Gesperrt	Bloq.
Рассылка	Broadcast	Rundnachricht	Difusión
Сообщение всем пользователям	Message all users	Nachricht an alle Nutzer	Mensaje a todos los usuarios
Текст сообщения…	Message text…	Nachrichtentext…	Texto del mensaje…
Отправить всем	Send to everyone	An alle senden	Enviar a todos
Пользователи	Users	Nutzer	Usuarios
Предыдущая страница	Previous page	Vorherige Seite	Página anterior
Следующая страница	Next page	Nächste Seite	Página siguiente
История игр пуста	No games played yet	Noch keine Spiele gespielt	Aún no hay partidas
без	without	ohne	sin
ника	username	Nutzernamen	nombre de usuario
Без	Without	Ohne	Sin
неизвестно	unknown	unbekannt	desconocido
Заблокирован	Blocked	Gesperrt	Bloqueado
Активен	Active	Aktiv	Activo
Открыть чат	Open chat	Chat öffnen	Abrir chat
Чат недоступен	Chat unavailable	Chat nicht verfügbar	Chat no disponible
Разблокировать	Unblock	Entsperren	Desbloquear
Заблокировать	Block	Sperren	Bloquear
Скопировать	Copy	Kopieren	Copiar
Последние игры	Recent games	Zuletzt gespielt	Juegos recientes
Библейские слова	Bible Words	Bibelwörter	Palabras bíblicas
Поиск слов	Word Search	Wortsuche	Sopa de letras
Священное слово	Sacred Word	Heiliges Wort	Palabra sagrada
Сохранить прогресс	Save progress	Fortschritt speichern	Guardar progreso
Найдено	Found	Gefunden	Encontrados
Ничего не найдено	Nothing found	Nichts gefunden	No se ha encontrado nada
Измените поиск или фильтр.	Change your search or filter.	Ändere die Suche oder den Filter.	Cambia la búsqueda o el filtro.
скопирован	copied	kopiert	copiado
Изменений нет	No changes	Keine Änderungen	Sin cambios
Сохраняю…	Saving…	Wird gespeichert…	Guardando…
Не удалось обновить	Could not update	Aktualisierung fehlgeschlagen	No se pudo actualizar
Прогресс сохранён	Progress saved	Fortschritt gespeichert	Progreso guardado
Сохранено	Saved	Gespeichert	Guardado
Не удалось сохранить прогресс	Could not save progress	Fortschritt konnte nicht gespeichert werden	No se pudo guardar el progreso
заблокировать	block	sperren	bloquear
разблокировать	unblock	entsperren	desbloquear
Вы уверены, что хотите	Are you sure you want to	Möchtest du wirklich	¿Seguro que quieres
Подождите…	Please wait…	Bitte warten…	Espera…
Ошибка изменения блокировки	Could not change block status	Sperrstatus konnte nicht geändert werden	No se pudo cambiar el bloqueo
Пользователь заблокирован	User blocked	Nutzer gesperrt	Usuario bloqueado
Пользователь разблокирован	User unblocked	Nutzer entsperrt	Usuario desbloqueado
Не удалось изменить блокировку	Could not change block status	Sperrstatus konnte nicht geändert werden	No se pudo cambiar el bloqueo
Введите текст сообщения	Enter a message	Gib einen Nachrichtentext ein	Escribe un mensaje
Отправить это сообщение всем пользователям?	Send this message to all users?	Diese Nachricht an alle Nutzer senden?	¿Enviar este mensaje a todos los usuarios?
Отправляю…	Sending…	Wird gesendet…	Enviando…
Рассылка не выполнена	Broadcast failed	Versand fehlgeschlagen	La difusión ha fallado
Доставлено	Delivered	Zugestellt	Entregados
ошибок	errors	Fehler	errores
Не удалось отправить рассылку	Could not send broadcast	Rundnachricht konnte nicht gesendet werden	No se pudo enviar la difusión
Админ-панель доступна только указанному	Admin panel is only available to the specified	Adminbereich nur verfügbar für die angegebene	Panel disponible solo para el indicado
Загружаю пользователей…	Loading users…	Nutzer werden geladen…	Cargando usuarios…
Получаем данные из	Fetching data from	Daten werden geladen von	Obteniendo datos de
Некорректный ответ	Invalid response	Ungültige Antwort	Respuesta no válida
База пользователей обновлена	User database refreshed	Nutzerdatenbank aktualisiert	Base de usuarios actualizada
Не удалось обновить базу	Could not refresh database	Datenbank konnte nicht aktualisiert werden	No se pudo actualizar la base de datos
Не удалось открыть админ-панель	Could not open admin panel	Adminbereich konnte nicht geöffnet werden	No se pudo abrir el panel
определён как администратор, но	is an administrator, but	ist als Administrator erkannt, aber	es administrador, pero
не вернул список пользователей.	did not return the user list.	hat keine Nutzerliste zurückgegeben.	no devolvió la lista de usuarios.
Повторить	Retry	Erneut versuchen	Reintentar
В меню	Menu	Zum Menü	Al menú
Не удалось подтвердить	Could not verify	Konnte nicht bestätigt werden	No se pudo verificar
администратора	administrator	Administrator	administrador
Пользователи, прогресс, блокировки и рассылка	Users, progress, blocks and broadcasts	Nutzer, Fortschritt, Sperren und Rundnachrichten	Usuarios, progreso, bloqueos y difusión
Пользователи, администраторы, прогресс и рассылка	Users, administrators, progress and broadcasts	Nutzer, Administratoren, Fortschritt und Rundnachrichten	Usuarios, administradores, progreso y difusión
Пользователи, прогресс, поддержка и рассылка	Users, progress, support and broadcasts	Nutzer, Fortschritt, Support und Rundnachrichten	Usuarios, progreso, soporte y difusión
Сервер не ответил. Проверьте связь и попробуйте ещё раз	Server did not respond. Check your connection and try again	Keine Serverantwort. Prüfe die Verbindung und versuche es erneut	El servidor no respondió. Revisa la conexión e inténtalo de nuevo
Права администратора не подтверждены сервером	Administrator access was not verified by the server	Administratorrechte wurden vom Server nicht bestätigt	El servidor no confirmó los permisos de administrador
Не удалось загрузить панель. Проверьте связь и нажмите ещё раз	Could not load panel. Check your connection and try again	Bereich konnte nicht geladen werden. Prüfe die Verbindung und versuche es erneut	No se pudo cargar el panel. Revisa la conexión y vuelve a intentarlo
Админ-панель временно недоступна	Admin panel temporarily unavailable	Adminbereich vorübergehend nicht verfügbar	Panel temporalmente no disponible
Управление администраторами	Manage administrators	Administratoren verwalten	Gestionar administradores
Администраторы	Administrators	Administratoren	Administradores
Только главный администратор может выдавать и отзывать права.	Only the owner can grant or revoke access.	Nur der Hauptadministrator kann Rechte erteilen oder entziehen.	Solo el administrador principal puede conceder o revocar permisos.
проверяется сервером.	is verified by the server.	wird vom Server geprüft.	se verifica en el servidor.
Серверная защита	Server protection	Serverschutz	Protección del servidor
пользователя	user	Nutzer	usuario
Например: 123456789	Example: 123456789	Beispiel: 123456789	Ejemplo: 123456789
Выдать права	Grant access	Rechte erteilen	Conceder permisos
Назначенный администратор не сможет назначать других администраторов, отзывать ваши права или управлять другими привилегированными аккаунтами.	The appointed administrator cannot appoint other administrators, revoke your access or manage other privileged accounts.	Der ernannte Administrator kann keine weiteren Administratoren ernennen, deine Rechte entziehen oder andere privilegierte Konten verwalten.	El administrador designado no podrá nombrar otros administradores, revocar tus permisos ni gestionar otras cuentas privilegiadas.
Загружаем список администраторов…	Loading administrators…	Administratoren werden geladen…	Cargando administradores…
Главный администратор не подтверждён	Owner access not verified	Hauptadministrator nicht bestätigt	Administrador principal no verificado
Не удалось получить администраторов	Could not retrieve administrators	Administratoren konnten nicht abgerufen werden	No se pudo obtener la lista de administradores
Не удалось загрузить администраторов	Could not load administrators	Administratoren konnten nicht geladen werden	No se pudieron cargar los administradores
Главный администратор	Owner	Hauptadministrator	Administrador principal
Администратор	Administrator	Administrator	Administrador
Роль владельца неизменяема	Owner role cannot be changed	Die Eigentümerrolle ist unveränderlich	El rol del propietario no se puede cambiar
Защищён	Protected	Geschützt	Protegido
Отозвать	Revoke	Entziehen	Revocar
Назначенных администраторов пока нет.	No appointed administrators yet.	Noch keine ernannten Administratoren.	Aún no hay administradores designados.
Введите корректный	Enter a valid	Gib einen gültigen Wert ein:	Introduce un valor válido:
У вас уже есть неизменяемые права главного администратора	You already have permanent owner access	Du hast bereits unveränderliche Hauptadministratorrechte	Ya tienes permisos permanentes de administrador principal
Выдать права администратора пользователю	Grant administrator access to	Administratorrechte erteilen an	Conceder permisos de administrador a
Он получит доступ к управлению пользователями, поддержке, мониторингу и рассылке, но не сможет назначать других администраторов.	They will gain access to users, support, monitoring and broadcasts, but cannot appoint other administrators.	Diese Person erhält Zugriff auf Nutzerverwaltung, Support, Überwachung und Rundnachrichten, kann aber keine weiteren Administratoren ernennen.	Tendrá acceso a usuarios, soporte, supervisión y difusión, pero no podrá nombrar otros administradores.
Проверяем…	Checking…	Wird geprüft…	Comprobando…
Операция доступна только главному администратору	Only the owner can perform this action	Nur der Hauptadministrator kann diese Aktion ausführen	Solo el administrador principal puede realizar esta acción
Не удалось выдать права	Could not grant access	Rechte konnten nicht erteilt werden	No se pudieron conceder permisos
Права администратора выданы	Administrator access granted	Administratorrechte erteilt	Permisos de administrador concedidos
Отозвать права администратора у	Revoke administrator access from	Administratorrechte entziehen für	Revocar permisos de administrador de
Доступ к административным	Access to administrative	Zugriff auf administrative	El acceso a las funciones administrativas
и уже выданным	and existing	und bereits ausgestellte	y a las existentes
сессиям будет прекращён сервером.	sessions will be revoked by the server.	Sitzungen wird vom Server beendet.	sesiones será revocado por el servidor.
Отзываем…	Revoking…	Wird entzogen…	Revocando…
Не удалось отозвать права	Could not revoke access	Rechte konnten nicht entzogen werden	No se pudieron revocar permisos
Права администратора отозваны у	Administrator access revoked for	Administratorrechte entzogen für	Permisos de administrador revocados para
Резервный живой мониторинг	Backup live monitoring	Ersatz-Liveüberwachung	Supervisión en directo de respaldo
Подключаем живой мониторинг…	Connecting live monitoring…	Liveüberwachung wird verbunden…	Conectando supervisión en directo…
Откройте админ-панель внутри	Open the admin panel in	Öffne den Adminbereich in	Abre el panel en
Главное меню	Main menu	Hauptmenü	Menú principal
Сейчас нет проверенных пользователей онлайн.	No verified users are online.	Derzeit sind keine bestätigten Nutzer online.	No hay usuarios verificados conectados.
Живой мониторинг	Live monitoring	Liveüberwachung	Supervisión en directo
Кто сейчас онлайн	Who is online	Wer ist online	Quién está conectado
Обновить данные	Refresh data	Daten aktualisieren	Actualizar datos
онлайн	online	online	en línea
в меню	in menu	im Menü	en el menú
комнат	rooms	Räume	salas
в списке	listed	in der Liste	en la lista
Пользователи онлайн	Online users	Nutzer online	Usuarios conectados
Неизвестная ошибка	Unknown error	Unbekannter Fehler	Error desconocido
Онлайн временно недоступен	Online status temporarily unavailable	Onlinestatus vorübergehend nicht verfügbar	Estado en línea temporalmente no disponible
Перезагрузить свежую версию	Reload latest version	Neueste Version laden	Recargar la última versión
Алиас	Alias	Alias	Alias
Соображариум	Think Fast	Denk schnell	Piensa rápido
Угадай персонажа	Guess the Character	Errate die Person	Adivina el personaje
Опиши, но не называй	Describe, Do Not Name	Beschreiben ohne Namen	Describe sin nombrar
Соглядатай	Spy	Spion	Espía
Квартет	Quartet	Quartett	Cuarteto
Библейский художник	Bible Artist	Bibelkünstler	Artista bíblico
Найди пару	Find a Pair	Finde ein Paar	Encuentra la pareja
Библейские сокровища	Bible Treasures	Bibelschätze	Tesoros bíblicos
Моисей: Путь по Нилу	Moses: Journey on the Nile	Mose: Reise auf dem Nil	Moisés: Viaje por el Nilo
Админ-панель доступна только внутри	Admin panel is only available in	Adminbereich nur verfügbar in	Panel disponible solo en
Живой мониторинг и управление	Live monitoring and management	Liveüberwachung und Verwaltung	Supervisión y gestión en directo
Получаем онлайн…	Loading online status…	Onlinestatus wird geladen…	Cargando estado en línea…
Онлайн временно недоступен. Нажмите «Обновить».	Online status unavailable. Tap Refresh.	Onlinestatus nicht verfügbar. Tippe auf Aktualisieren.	Estado no disponible. Pulsa Actualizar.
ошибок сегодня	errors today	Fehler heute	errores hoy
Онлайн и управление	Online and management	Online und Verwaltung	En línea y gestión
пик сегодня	peak today	Spitze heute	máximo de hoy
Игры сейчас	Games now	Aktuelle Spiele	Partidas actuales
сек	sec	Sek.	s
Баланс загружается…	Loading balance…	Guthaben wird geladen…	Cargando saldo…
Наблюдать за комнатой	Observe room	Raum beobachten	Observar sala
только чтение	read only	nur lesen	solo lectura
Чат	Chat	Chat	Chat
Уменьшить	Zoom out	Verkleinern	Reducir
Увеличить	Zoom in	Vergrößern	Ampliar
Не удалось сохранить	Could not save	Speichern fehlgeschlagen	No se pudo guardar
Закрыть	Close	Schließen	Cerrar
Сообщение через бота	Message via bot	Nachricht über den Bot	Mensaje a través del bot
Сообщение придёт пользователю в личный чат бота «Библейские игры».	The user will receive the message in their private Bible Games bot chat.	Der Nutzer erhält die Nachricht im privaten Chat mit dem Bibelspiele-Bot.	El usuario recibirá el mensaje en su chat privado con el bot de Juegos bíblicos.
Текст сообщения	Message text	Nachrichtentext	Texto del mensaje
Напишите сообщение…	Write a message…	Nachricht schreiben…	Escribe un mensaje…
Отправить	Send	Senden	Enviar
Не удалось отправить	Could not send	Senden fehlgeschlagen	No se pudo enviar
Сообщение отправлено	Message sent	Nachricht gesendet	Mensaje enviado
Невидимый монитор	Invisible observer	Unsichtbarer Beobachter	Observador invisible
Только чтение	Read only	Nur lesen	Solo lectura
