Обет	Vow	Gelübde	Voto
Жертвенник	Altar	Altar	Altar
Кровь	Blood	Blut	Sangre
Первенец	Firstborn	Erstgeborener	Primogénito
Пасха	Passover	Passah	Pascua
Агнец	Lamb	Lamm	Cordero
Исход	Exodus	Auszug	Éxodo
Казни	Plagues	Plagen	Plagas
Тьма	Darkness	Finsternis	Oscuridad
Знамение	Sign	Zeichen	Señal
Облако	Cloud	Wolke	Nube
Огонь	Fire	Feuer	Fuego
Столп	Pillar	Säule	Columna
Золото	Gold	Gold	Oro
Теленок	Calf	Kalb	Becerro
Идол	Idol	Götze	Ídolo
Гнев	Wrath	Zorn	Ira
Ходатайство	Intercession	Fürbitte	Intercesión
Терпение	Patience	Geduld	Paciencia
Стены	Walls	Mauern	Murallas
Трубы	Trumpets	Posaunen	Trompetas
Крик	Shout	Schrei	Grito
Падение	Fall	Fall	Caída
Судьи	Judges	Richter	Jueces
Гедеон	Gideon	Gideon	Gedeón
Шерсть	Wool	Wolle	Lana
Знак	Sign	Zeichen	Señal
Ополчение	Militia	Heer	Milicia
Факел	Torch	Fackel	Antorcha
Кувшин	Jar	Krug	Cántaro
Страх	Fear	Furcht	Miedo
Самсон	Samson	Simson	Sansón
Сила	Strength	Kraft	Fuerza
Волосы	Hair	Haare	Cabello
Обман	Deceit	Betrug	Engaño
Далида	Delilah	Delila	Dalila
Плен	Captivity	Gefangenschaft	Cautiverio
Столбы	Pillars	Säulen	Columnas
Гибель	Destruction	Untergang	Destrucción
Руфь	Ruth	Rut	Rut
Поля	Fields	Felder	Campos
Колосья	Grain ears	Ähren	Espigas
Верность	Faithfulness	Treue	Fidelidad
Родство	Kinship	Verwandtschaft	Parentesco
Вооз	Boaz	Boas	Booz
Брак	Marriage	Ehe	Matrimonio
Саул	Saul	Saul	Saúl
Зависть	Envy	Neid	Envidia
Копьё	Spear	Speer	Lanza
Погоня	Pursuit	Verfolgung	Persecución
Пещера	Cave	Höhle	Cueva
Пощада	Mercy	Schonung	Clemencia
Плач	Lament	Klage	Llanto
Илия	Elijah	Elia	Elías
Дождь	Rain	Regen	Lluvia
Пророк	Prophet	Prophet	Profeta
Кармил	Carmel	Karmel	Carmelo
Испытание	Trial	Prüfung	Prueba
Елисей	Elisha	Elisa	Eliseo
Исцеление	Healing	Heilung	Sanación
Нееман	Naaman	Naaman	Naamán
Проказа	Leprosy	Aussatz	Lepra
Омовение	Washing	Waschung	Lavamiento
Иов	Job	Hiob	Job
Потеря	Loss	Verlust	Pérdida
Вопросы	Questions	Fragen	Preguntas
Восстановление	Restoration	Wiederherstellung	Restauración
Иона	Jonah	Jona	Jonás
Корабль	Ship	Schiff	Barco
Вихрь	Whirlwind	Wirbelwind	Torbellino
Жребий	Lot	Los	Suerte
Чрево	Belly	Bauch	Vientre
Покаяние	Repentance	Umkehr	Arrepentimiento
Ниневия	Nineveh	Ninive	Nínive
Есфирь	Esther	Ester	Ester
Царица	Queen	Königin	Reina
Пир	Feast	Festmahl	Banquete
Указ	Decree	Erlass	Decreto
Заступник	Advocate	Fürsprecher	Defensor
Избавление	Deliverance	Rettung	Liberación
Даниил	Daniel	Daniel	Daniel
Запрет	Prohibition	Verbot	Prohibición
Навуходоносор	Nebuchadnezzar	Nebukadnezar	Nabucodonosor
Печь	Furnace	Ofen	Horno
Ангел	Angel	Engel	Ángel
Крещение	Baptism	Taufe	Bautismo
Искушение	Temptation	Versuchung	Tentación
Прекословие	Opposition	Widerspruch	Oposición
Предатель	Traitor	Verräter	Traidor
Поцелуй	Kiss	Kuss	Beso
Серебро	Silver	Silber	Plata
Оковы	Shackles	Fesseln	Grilletes
Ложь	Lie	Lüge	Mentira
Осуждение	Condemnation	Verurteilung	Condena
Отвержение	Rejection	Ablehnung	Rechazo
Петух	Rooster	Hahn	Gallo
Слёзы	Tears	Tränen	Lágrimas
Раскаяние	Remorse	Reue	Remordimiento
Явление	Appearance	Erscheinung	Aparición
Обетование	Promise	Verheißung	Promesa
Дух	Spirit	Geist	Espíritu
Пятидесятница	Pentecost	Pfingsten	Pentecostés
Языки	Tongues	Sprachen	Lenguas
Речь	Speech	Rede	Discurso
Проповедь	Sermon	Predigt	Sermón
Церковь	Church	Kirche	Iglesia
Сонм	Assembly	Schar	Asamblea
Собрание	Congregation	Versammlung	Congregación
Апостол	Apostle	Apostel	Apóstol
Служение	Ministry	Dienst	Ministerio
Учение	Teaching	Lehre	Enseñanza
Наставление	Instruction	Unterweisung	Instrucción
Обличение	Rebuke	Zurechtweisung	Reprensión
Исправление	Correction	Berichtigung	Corrección
Посольство	Embassy	Gesandtschaft	Embajada
Свидетельство	Testimony	Zeugnis	Testimonio
Страдание	Suffering	Leiden	Sufrimiento
Гонение	Persecution	Verfolgung	Persecución
Сокровище	Treasure	Schatz	Tesoro
Стража	Guard	Wache	Guardia
Соблазн	Temptation	Verlockung	Tentación
Исповедание	Confession	Bekenntnis	Confesión
Чистота	Purity	Reinheit	Pureza
Рвение	Zeal	Eifer	Celo
Постоянство	Steadfastness	Beständigkeit	Constancia
Упование	Trust	Zuversicht	Confianza
Миротворец	Peacemaker	Friedensstifter	Pacificador
Блаженство	Blessedness	Seligkeit	Bienaventuranza
Заповедь	Commandment	Gebot	Mandamiento
Повеление	Command	Befehl	Mandato
Мудрец	Wise man	Weiser	Sabio
Глупец	Fool	Narr	Necio
Совет	Counsel	Rat	Consejo
Соль	Salt	Salz	Sal
Закваска	Leaven	Sauerteig	Levadura
Жатва	Harvest	Ernte	Cosecha
Иеффай	Jephthah	Jeftah	Jefté
Девора	Deborah	Debora	Débora
Варак	Barak	Barak	Barac
Сисара	Sisera	Sisera	Sísara
Гофониил	Othniel	Otniel	Otoniel
Аод	Ehud	Ehud	Aod
Есевон	Heshbon	Heschbon	Hesbón
Иавис	Jabesh	Jabesch	Jabes
Авимелех	Abimelech	Abimelech	Abimélec
Нафан	Nathan	Nathan	Natán
Ахав	Ahab	Ahab	Acab
Иезавель	Jezebel	Isebel	Jezabel
Иорам	Joram	Joram	Joram
Иосафат	Jehoshaphat	Joschafat	Josafat
Езекия	Hezekiah	Hiskia	Ezequías
Иосия	Josiah	Josia	Josías
Манассия	Manasseh	Manasse	Manasés
Ровоам	Rehoboam	Rehabeam	Roboam
Иеровоам	Jeroboam	Jerobeam	Jeroboam
Асаия	Asaiah	Asaja	Asaías
Мардохей	Mordecai	Mordechai	Mardoqueo
